year_month,tea_category,package_type,quantity_kg,fob_rs_per_kg
2020-12,Black,Packets (5kg - 10kg),8215.2,1306.83
2020-12,Green,Bags,94611.34,2749.45
2020-12,Green,Bulk,4714.1,1508.34
2020-12,Green,Packets (4g - 1kg),34247.15,1537.45
2020-12,Green,Packets (3kg - 5kg),3.3,399.39
2020-12,Green,Packets (5kg - 10kg),4660.06,1200.91
2020-12,Instant,Packets (>3kg),59.4,2672.05
2021-01,Black,Bags,359987.6,1165.67
2021-01,Black,Bulk,159537.6,791.38
2021-01,Black,Packets (4g - 1kg),80019.77,1147.33
2021-01,Green,Bags,88986.51,2984.28
2021-01,Green,Bulk,41185.0,682.85
2021-01,Green,Packets (4g - 1kg),34388.17,1321.43
2021-01,Green,Packets (5kg - 10kg),26.0,1343.92
2021-01,Instant,Packets (>3kg),439.38,1587.48
2021-02,Black,Bags,349108.52,1206.54
2021-02,Black,Bulk,99432.0,737.07
2021-02,Black,Packets (4g - 1kg),102877.95,1049.74
2021-02,Black,Packets (3kg - 5kg),17611.0,2830.35
2021-02,Black,Packets (5kg - 10kg),4190.0,1344.08
2021-02,Green,Bags,111412.9,2922.53
2021-02,Green,Bulk,20119.0,671.87
2021-02,Green,Packets (4g - 1kg),97777.46,1256.01
2021-02,Green,Packets (3kg - 5kg),2667.0,1418.85
2021-02,Green,Packets (5kg - 10kg),2320.0,1286.64
2021-02,Instant,Packets (>3kg),2072.75,1137.64
2021-03,Black,Bags,491708.1,1230.35
2021-03,Black,Bulk,104091.4,808.8
2021-03,Black,Packets (4g - 1kg),191473.69,1101.21
2021-03,Black,Packets (3kg - 5kg),155.0,2183.12
2021-03,Black,Packets (5kg - 10kg),130.0,1872.04
2021-03,Green,Bags,109110.63,2899.49
2021-03,Green,Bulk,24389.0,688.68
2021-03,Green,Packets (4g - 1kg),72704.71,1444.04
2021-03,Green,Packets (5kg - 10kg),1620.0,997.77
2021-03,Instant,Bags,1.2,491.67
2021-03,Instant,Packets (>3kg),2303.4,1614.02
2021-04,Black,Bags,334619.7,1244.3
2021-04,Black,Bulk,66643.6,872.99
2021-04,Black,Packets (4g - 1kg),54488.2,1153.09
2021-04,Black,Packets (3kg - 5kg),500.0,846.8
2021-04,Green,Bags,85408.69,3153.61
2021-04,Green,Bulk,25841.29,552.94
2021-04,Green,Packets (4g - 1kg),29222.76,1486.54
2021-04,Green,Packets (1kg - 3kg),150.0,1733.59
2021-04,Green,Packets (5kg - 10kg),2.0,1964.5
2021-04,Instant,Packets (>3kg),1200.79,1667.0
2021-05,Black,Bags,396708.06,1362.52
2021-05,Black,Bulk,108622.77,998.99
2021-05,Black,Packets (4g - 1kg),104286.93,1176.3
2021-05,Black,Packets (5kg - 10kg),6300.0,1375.11
2021-05,Green,Bags,83194.43,3736.11
2021-05,Green,Bulk,62260.0,644.93
2021-05,Green,Packets (4g - 1kg),63406.46,1212.94
2021-05,Green,Packets (5kg - 10kg),1958.0,1281.34
2021-05,Green,Bags,80.0,1465.54
2021-05,Instant,Packets (>3kg),366.86,4836.42
2021-06,Black,Bags,470943.1,1252.58
2021-06,Black,Bulk,185702.2,720.79
2021-06,Black,Packets (4g - 1kg),149917.36,1126.22
2021-06,Black,Packets (5kg - 10kg),140.0,1903.49
2021-06,Green,Bags,70221.02,3581.13
2021-06,Green,Bulk,29769.8,673.73
2021-06,Green,Packets (4g - 1kg),36590.28,1741.54
2021-06,Green,Packets (5kg - 10kg),30.0,1416.17
2021-06,Instant,Packets (>3kg),5696.3,1677.23
2021-07,Black,Bags,381568.9,1256.34
2021-07,Black,Bulk,95692.8,711.03
2021-07,Black,Packets (4g - 1kg),74637.2,1342.76
2021-07,Black,Packets (5kg - 10kg),4050.0,1395.88
2021-07,Green,Bags,104517.92,3993.99
2021-07,Green,Bulk,43022.4,846.73
2021-07,Green,Packets (4g - 1kg),44901.35,1308.2
2021-07,Green,Packets (1kg - 3kg),3.5,3622.29
2021-07,Green,Packets (5kg - 10kg),4200.0,1294.44
2021-07,Instant,Packets (>3kg),19244.02,1643.21
2021-07,Instant,Packets (1kg - 3kg),120.0,1156.52
2021-08,Black,Bags,310898.52,1486.84
2021-08,Black,Bulk,166110.09,1031.9
2021-08,Black,Packets (4g - 1kg),103370.09,1334.05
2021-08,Black,Packets (1kg - 3kg),0.4,1250.0
2021-08,Black,Packets (5kg - 10kg),210.0,1972.14
2021-08,Green,Bags,155229.06,3111.86
2021-08,Green,Bulk,37883.06,832.65
2021-08,Green,Packets (4g - 1kg),41043.98,1591.31
2021-08,Green,Packets (1kg - 3kg),0.43,1255.81
2021-08,Instant,Packets (>3kg),1612.3,4061.47
2021-09,Black,Bags,246049.32,1478.85
2021-09,Black,Bulk,191947.2,806.87
2021-09,Black,Packets (4g - 1kg),94248.81,1134.87
2021-09,Black,Packets (3kg - 5kg),20090.0,2960.2
2021-09,Black,Packets (5kg - 10kg),14810.0,2010.81
2021-09,Green,Bags,115579.51,3402.29
2021-09,Green,Bulk,65420.0,681.28
2021-09,Green,Packets (4g - 1kg),48812.17,2236.75
2021-09,Green,Packets (3kg - 5kg),5.0,1600.0
2021-09,Green,Packets (5kg - 10kg),5430.0,1294.77
2021-09,Instant,Packets (>3kg),1076.15,1071.05
2021-10,Black,Bags,310796.54,1349.87
2021-10,Black,Bulk,147798.0,854.09
2021-10,Black,Packets (4g - 1kg),89143.62,1161.35
2021-10,Black,Packets (5kg - 10kg),2750.0,3081.9
2021-10,Green,Bags,98903.93,3262.19
2021-10,Green,Bulk,47644.0,598.73
2021-10,Green,Packets (4g - 1kg),40207.4,1527.15
2021-10,Green,Packets (1kg - 3kg),70.0,1657.99
2021-10,Green,Packets (5kg - 10kg),20.0,2515.1
2021-10,Instant,Packets (>3kg),10637.92,1026.08
2021-11,Black,Bags,415331.0,1283.36
2021-11,Black,Bulk,199776.0,851.29
2021-11,Black,Packets (4g - 1kg),106725.6,1140.54
2021-11,Black,Packets (3kg - 5kg),186.0,639.45
2021-11,Black,Packets (5kg - 10kg),760.0,2109.65
2021-11,Green,Bags,94805.33,3951.11
2021-11,Green,Bulk,40889.0,565.2
2021-11,Green,Packets (4g - 1kg),60006.92,1218.07
2021-11,Green,Packets (1kg - 3kg),5.74,2885.89
2021-11,Green,Packets (3kg - 5kg),3635.0,1472.18
2021-11,Green,Packets (5kg - 10kg),190.0,4211.44
2021-11,Green,Packets (>3kg),14741.26,694.53
2021-12,Black,Bags,474002.76,1345.75
2021-12,Black,Bulk,140317.0,729.98
2021-12,Black,Packets (4g - 1kg),38197.4,1491.05
2021-12,Black,Packets (3kg - 5kg),2.0,3934.0
2021-12,Black,Packets (5kg - 10kg),14700.0,1497.59
2021-12,Green,Bags,102258.13,3278.09
2021-12,Green,Bulk,3362.0,617.48
2021-12,Green,Packets (4g - 1kg),70283.13,1328.82
2021-12,Green,Packets (5kg - 10kg),4290.0,1295.17
2021-12,Instant,Packets (>3kg),2173.4,1426.03
2022-01,Black,Bags,286777.89,1371.11
2022-01,Black,Bulk,75636.0,1032.05
2022-01,Black,Packets (4g - 1kg),62179.06,1231.8
2022-01,Black,Packets (3kg - 5kg),1.0,2797.0
2022-01,Black,Packets (5kg - 10kg),6750.0,1531.52
2022-01,Green,Bags,106485.33,3373.42
2022-01,Green,Bulk,1190.0,697.87
2022-01,Green,Packets (4g - 1kg),45531.92,1645.56
2022-01,Green,Packets (3kg - 5kg),18605.0,1433.57
2022-01,Green,Packets (5kg - 10kg),1690.0,1423.54
2022-01,Instant,Packets (>3kg),2917.34,796.06
2022-01,Instant,Packets (4g - 1kg),115.2,2768.33
2022-02,Black,Bags,325503.0,1265.89
2022-02,Black,Bulk,17194.0,992.05
2022-02,Black,Packets (4g - 1kg),85513.5,1160.7
2022-02,Green,Bags,80021.07,3226.16
2022-02,Green,Bulk,27360.0,602.85
2022-02,Green,Packets (4g - 1kg),76308.0,1122.62
2022-02,Instant,Packets (>3kg),5778.73,1334.53
2022-03,Black,Bags,407041.98,
2022-03,Black,Bulk,38605.8,
2022-03,Black,Packets (4g - 1kg),121148.19,
2022-03,Green,Bags,107622.09,
2022-03,Green,Bulk,25785.0,
2022-03,Green,Packets (4g - 1kg),119777.36,
2022-03,Instant,Packets (>3kg),2325.12,
2022-04,Black,Bags,291568.24,
2022-04,Black,Bulk,63498.0,
2022-04,Black,Packets (4g - 1kg),73062.96,
2022-04,Black,Packets (3kg - 5kg),107.26,
2022-04,Black,Packets (5kg - 10kg),250.0,
2022-04,Green,Bags,120064.95,
2022-04,Green,Bulk,27064.0,
2022-04,Green,Packets (4g - 1kg),25906.81,
2022-04,Green,Packets (3kg - 5kg),12633.97,
2022-04,Instant,Packets (>3kg),770.66,
2022-04,Instant,Packets (4g - 1kg),600.0,
2022-05,Black,Bags,364883.8,
2022-05,Black,Bulk,64363.2,
2022-05,Black,Packets (4g - 1kg),114592.1,
2022-05,Black,Packets (5kg - 10kg),30280.0,
2022-05,Green,Bags,74795.29,
2022-05,Green,Bulk,12218.4,
2022-05,Green,Packets (4g - 1kg),31303.86,
2022-05,Instant,Packets (>3kg),1618.39,
2022-06,Black,Bags,326833.28,
2022-06,Black,Bulk,76234.2,
2022-06,Black,Packets (4g - 1kg),158468.15,
2022-06,Black,Packets (5kg - 10kg),4950.0,
2022-06,Green,Bags,121469.05,
2022-06,Green,Bulk,25153.0,
2022-06,Green,Packets (4g - 1kg),123470.31,
2022-06,Green,Packets (5kg - 10kg),3300.0,
2022-06,Instant,Packets (>3kg),5508.58,
2022-07,Black,Bags,341363.96,
2022-07,Black,Bulk,61867.8,
2022-07,Black,Packets (4g - 1kg),79903.77,
2022-07,Black,Packets (1kg - 3kg),32.0,
2022-07,Black,Packets (3kg - 5kg),280.0,
2022-07,Black,Packets (5kg - 10kg),3300.0,
2022-07,Green,Bags,119586.03,
2022-07,Green,Bulk,1008.0,
2022-07,Green,Packets (4g - 1kg),66572.58,
2022-07,Green,Packets (1kg - 3kg),97.0,
2022-07,Green,Packets (5kg - 10kg),4950.0,
2022-07,Instant,Packets (>3kg),7370.11,
2022-08,Black,Bags,1538250.83,
2022-08,Black,Bulk,10676413.68,
2022-08,Black,Packets (4g - 1kg),5462277.99,
2022-08,Black,Packets (1kg - 3kg),292897.76,
2022-08,Black,Packets (3kg - 5kg),992937.04,
2022-08,Black,Packets (5kg - 10kg),2829119.6,
2022-08,Green,Bags,75015.15,
2022-08,Green,Bulk,35019.36,
2022-08,Green,Packets (4g - 1kg),82915.13,
2022-08,Green,Packets (1kg - 3kg),1000.0,
2022-08,Green,Packets (3kg - 5kg),5320.0,
2022-08,Green,Packets (5kg - 10kg),1743.0,
2022-08,Instant,Packets (>3kg),221718.0,
2022-08,Instant,Packets (4g - 1kg),0.2,
2022-09,Black,Bags,230019.81,
2022-09,Black,Bulk,223638.0,
2022-09,Black,Packets (4g - 1kg),65723.86,
2022-09,Black,Packets (1kg - 3kg),41.65,
2022-09,Black,Packets (3kg - 5kg),190.0,
2022-09,Black,Packets (5kg - 10kg),6150.0,
2022-09,Green,Bags,138597.81,
2022-09,Green,Bulk,58970.0,
2022-09,Green,Packets (4g - 1kg),30497.09,
2022-09,Green,Packets (1kg - 3kg),50.0,
2022-09,Green,Packets (3kg - 5kg),30.0,
2022-09,Green,Packets (5kg - 10kg),2310.0,
2022-09,Instant,Packets (>3kg),4397.23,
2022-10,Black,Bags,292559.09,
2022-10,Black,Bulk,61450.0,
2022-10,Black,Packets (4g - 1kg),76302.28,
2022-10,Black,Packets (1kg - 3kg),240.0,
2022-10,Green,Bags,108441.02,
2022-10,Green,Bulk,32960.0,
2022-10,Green,Packets (4g - 1kg),110470.4,
2022-10,Instant,Packets (>3kg),6304.58,
2022-11,Black,Bags,296676.59,
2022-11,Black,Bulk,148057.0,
2022-11,Black,Packets (4g - 1kg),118240.37,
2022-11,Black,Packets (5kg - 10kg),300.0,
2022-11,Grand Total,Bags,92541.26,
2022-11,Grand Total,Bulk,25760.0,
2022-11,Grand Total,Packets (4g - 1kg),35810.92,
2022-11,Grand Total,Packets (3kg - 5kg),11700.0,
2022-11,Instant,Packets (>3kg),5855.06,
2022-12,Black,Bags,308133.74,
2022-12,Black,Bulk,103676.0,
2022-12,Black,Packets (4g - 1kg),90023.7,
2022-12,Black,Packets (1kg - 3kg),368.0,
2022-12,Black,Packets (3kg - 5kg),29.0,
2022-12,Black,Packets (5kg - 10kg),7050.0,
2022-12,Green,Bags,91454.14,
2022-12,Green,Bulk,18933.0,
2022-12,Green,Packets (4g - 1kg),25984.27,
2022-12,Green,Packets (1kg - 3kg),80.0,
2022-12,Green,Packets (3kg - 5kg),6250.0,
2022-12,Green,Packets (5kg - 10kg),2410.0,
2022-12,Instant,Packets (>3kg),2358.63,
2023-01,Black,Bags,337090.37,
2023-01,Black,Bulk,189863.45,
2023-01,Black,Packets (4g - 1kg),91980.76,
2023-01,Black,Packets (1kg - 3kg),64.0,
2023-01,Black,Packets (3kg - 5kg),200.0,
2023-01,Black,Packets (5kg - 10kg),3660.0,
2023-01,Green,Bags,68319.62,
2023-01,Green,Bulk,25760.0,
2023-01,Green,Packets (4g - 1kg),45670.18,
2023-01,Green,Packets (5kg - 10kg),4800.0,
2023-01,Instant,Packets (>3kg),7627.4,
2023-02,Black,Bags,314102.7,
2023-02,Black,Bulk,235557.6,
2023-02,Black,Packets (4g - 1kg),52691.92,
2023-02,Green,Bags,106646.53,
2023-02,Green,Bulk,27860.0,
2023-02,Green,Packets (4g - 1kg),108697.95,
2023-02,Green,Packets (1kg - 3kg),100.0,
2023-02,Green,Packets (3kg - 5kg),15125.0,
2023-02,Instant,Packets (>3kg),5097.65,
2023-03,Black,Bags,324717.57,
2023-03,Black,Bulk,68990.6,
2023-03,Black,Packets (4g - 1kg),32654.95,
2023-03,Black,Packets (1kg - 3kg),795.3,
2023-03,Green,Bags,93647.42,
2023-03,Green,Packets (3kg - 5kg),510.0,
2023-03,Green,Packets (4g - 1kg),69087.62,
2023-03,Green,Packets (5kg - 10kg),200.0,
2023-03,Instant,Bags,96.0,
2023-03,Instant,Packets (>3kg),2156.22,
2023-04,Black,Bags,321888.54,
2023-04,Black,Bulk,347750.0,
2023-04,Black,Packets (4g - 1kg),69156.66,
2023-04,Black,Packets (5kg - 10kg),13380.0,
2023-04,Green,Bags,70449.82,
2023-04,Green,Bulk,34666.0,
2023-04,Green,Packets (4g - 1kg),24177.66,
2023-04,Green,Packets (1kg - 3kg),50.0,
2023-04,Green,Packets (5kg - 10kg),3560.0,
2023-04,Instant,Packets (>3kg),4822.48,
2023-05,Black,Bags,382392.72,
2023-05,Black,Bulk,438433.2,
2023-05,Black,Packets (4g - 1kg),70948.36,
2023-05,Black,Packets (5kg - 10kg),10000.0,
2023-05,Green,Bags,96341.33,
2023-05,Green,Bulk,46422.0,
2023-05,Green,Packets (4g - 1kg),224900.34,
2023-05,Instant,Packets (>3kg),6977.15,
2023-06,Black,Bags,398240.48,
2023-06,Black,Bulk,26150.0,
2023-06,Black,Packets (4g - 1kg),98717.07,
2023-06,Green,Bags,95652.24,
2023-06,Green,Packets (4g - 1kg),25644.52,
2023-06,Green,Packets (3Kg - 5kg),6325.0,
2023-06,Green,Packets (5Kg - 10kg),57.0,
2023-06,Instant,Bags,82.0,
2023-06,Instant,Packets (>3kg),17942.45,
2023-06,Instant,Packets (1kg-3kg),180.0,
2023-07,Black,Bags,479454.12,
2023-07,Black,Bulk,26321.0,
2023-07,Black,Packets (4g - 1kg),83515.06,
2023-07,Black,Packets (5kg-10kg),4470.0,
