year_month,rainfall_mm,avg_temp_c
2020-01,28.727272727272727,26.145161290322584
2020-02,45.24545454545454,27.345454545454547
2020-03,50.154545454545456,28.536950146627564
2020-04,230.06363636363633,27.30606060606061
2020-05,315.90909090909093,25.36686217008798
2020-06,204.44545454545457,24.418181818181814
2020-07,244.3,24.012023460410557
2020-08,264.90909090909093,24.229912023460408
2020-09,396.94545454545454,23.10121212121212
2020-10,212.62727272727273,23.985630498533727
2020-11,340.6636363636364,24.813333333333333
2020-12,238.8090909090909,24.222287390029326
2021-01,313.4909090909091,24.318181818181817
2021-02,52.41818181818182,25.72207792207792
2021-03,174.8090909090909,26.203225806451613
2021-04,233.5090909090909,25.85666666666667
2021-05,572.0181818181818,24.81847507331378
2021-06,283.45454545454544,23.922727272727272
2021-07,348.96363636363634,23.830205278592373
2021-08,304.4909090909091,23.463636363636365
2021-09,276.3454545454546,23.775151515151514
2021-10,361.1636363636364,24.04985337243402
2021-11,427.5363636363636,23.29909090909091
2021-12,88.69090909090909,24.98651026392962
2022-01,76.02727272727272,25.30909090909091
2022-02,80.27272727272727,25.986688311688308
2022-03,71.61818181818181,26.47126099706745
2022-04,248.5090909090909,25.59333333333333
2022-05,451.69090909090914,23.88533724340176
2022-06,208.33636363636361,23.597878787878788
2022-07,283.0090909090909,23.853372434017594
2022-08,422.69090909090914,23.28005865102639
2022-09,170.23636363636362,23.88181818181818
2022-10,403.3545454545454,23.43841642228739
2022-11,224.16363636363639,24.060606060606062
2022-12,201.28181818181818,23.752199413489734
2023-01,94.98181818181818,24.36539589442815
2023-02,96.38181818181819,25.12922077922078
2023-03,130.48181818181817,26.034604105571848
2023-04,142.0909090909091,26.871515151515155
2023-05,170.06363636363636,25.374193548387098
2023-06,186.05454545454543,24.54151515151515
2023-07,252.44545454545457,23.880058651026392
2023-08,96.68181818181819,25.527565982404692
2023-09,370.4818181818182,23.86
2023-10,509.19090909090914,24.36656891495601
2023-11,679.1363636363636,24.91
2023-12,367.6545454545454,24.926099706744868
2024-01,176.84545454545454,25.38064516129032
2024-02,37.981818181818184,27.390595611285267
2024-03,71.15454545454546,28.573607038123168
2024-04,133.9181818181818,28.426969696969696
2024-05,624.8727272727273,25.863929618768328
2024-06,283.8,24.716363636363635
2024-07,244.9909090909091,24.246041055718475
2024-08,251.88181818181818,24.37565982404692
2024-09,237.5090909090909,24.28757575757576
2024-10,277.22727272727275,24.400879765395896
2024-11,501.4818181818182,24.477575757575757
2024-12,127.46363636363635,25.164809384164222
2025-01,296.45454545454544,24.590029325513196
2025-02,41.61818181818182,27.066233766233765
2025-03,135.0090909090909,26.9524926686217
2025-04,260.72727272727275,26.043636363636367
2025-05,278.95454545454544,25.282991202346043
2025-06,306.71818181818185,24.024545454545454
2025-07,392.42727272727274,23.883870967741938
2025-08,206.2,24.212903225806453
2025-09,226.66363636363639,24.468181818181815
2025-10,297.53636363636366,25.10322580645161
2025-11,684.4181818181819,24.469090909090912
2025-12,124.7,25.21231671554252
2026-01,86.99090909090908,25.27800586510264
2026-02,193.33636363636361,25.608441558441555
2026-03,51.17272727272727,28.323460410557185
2026-04,183.4909090909091,27.85848484848485
2026-05,289.0181818181818,25.72316715542522
2026-06,177.0818181818182,24.782954545454547
