year_month,tea_category,package_type,quantity_kg,fob_rs_per_kg
2020-10,Black,Packets (3kg - 5kg),1974452.23,851.03
2020-10,Black,Packets (5kg - 10kg),2309273.0,666.98
2020-10,Green,Bags,74155.8,3086.7
2020-10,Green,Bulk,19705.0,1307.4
2020-10,Green,Packets (4g - 1kg),78739.92,1672.23
2020-10,Green,Packets (1kg - 3kg),201.0,2972.34
2020-10,Green,Packets (3kg - 5kg),27.9,1087.56
2020-10,Green,Packets (5kg - 10kg),3570.0,2023.0
2020-10,Instant,Packets (>3kg),334964.32,1539.59
2020-10,Instant,Packets (4g - 1kg),250.0,1549.98
2020-10,RTD,RTD ( Liters ),240.0,11.69
2020-11,Black,Bags,1373555.92,1489.14
2020-11,Black,Bulk,9060630.51,778.38
2020-11,Black,Packets (4g - 1kg),4944282.66,891.81
2020-11,Black,Packets (1kg - 3kg),34291.36,639.38
2020-11,Black,Packets (3kg - 5kg),1253643.04,811.78
2020-11,Black,Packets (5kg - 10kg),2294618.2,639.6
2020-11,Green,Bags,60167.09,2647.97
2020-11,Green,Bulk,17680.0,1323.52
2020-11,Green,Packets (4g - 1kg),63388.43,1797.91
2020-11,Green,Packets (5kg - 10kg),430.0,2071.39
2020-11,Instant,Packets (>3kg),244873.6,1485.38
2020-11,RTD,RTD ( Liters ),153.6,180.87
2020-12,Black,Bags,1851850.25,1529.49
2020-12,Black,Bulk,10025566.8,759.21
2020-12,Black,Packets (4g - 1kg),6344915.06,915.09
2020-12,Black,Packets (1kg - 3kg),168961.62,731.35
2020-12,Black,Packets (3kg - 5kg),1788589.04,825.61
2020-12,Black,Packets (5kg - 10kg),2745820.0,634.98
2020-12,Green,Bags,68824.68,2828.03
2020-12,Green,Bulk,47524.0,1120.46
2020-12,Green,Packets (4g - 1kg),49061.92,1786.45
2020-12,Green,Packets (1kg - 3kg),475.5,1017.45
2020-12,Green,Packets (5kg - 10kg),2822.0,2167.12
2020-12,Instant,Packets (>3kg),241367.15,1618.43
2020-12,RTD,RTD ( Liters ),349.79,465.04
2021-01,Black,Bags,1540579.05,1513.49
2021-01,Black,Bulk,9905939.01,793.17
2021-01,Black,Packets (4g - 1kg),4912998.49,981.48
2021-01,Black,Packets (1kg - 3kg),42348.4,895.3
2021-01,Black,Packets (3kg - 5kg),1393555.16,846.27
2021-01,Black,Packets (5kg - 10kg),1885910.0,687.51
2021-01,Black,Bags,65903.54,3030.11
2021-01,Black,Bulk,48506.0,1141.99
2021-01,Black,Packets (4g - 1kg),75413.89,1710.26
2021-01,Black,Packets (3kg - 5kg),11.0,14163.91
2021-01,Black,Packets (5kg - 10kg),7495.0,1589.37
2021-01,Instant,Packets (>3kg),176807.2,1918.53
2021-01,Instant,RTD ( Liters ),5.95,4718.32
2021-02,Black,Bags,1702078.66,1603.17
2021-02,Black,Bags,9755746.72,794.67
2021-02,Black,Packets (4g - 1kg),7051983.87,946.86
2021-02,Black,Packets (1kg - 3kg),89042.74,981.53
2021-02,Black,Packets (3kg - 5kg),1454954.18,860.82
2021-02,Black,Packets (5kg - 10kg),1940585.0,710.69
2021-02,Green,Bags,55409.73,3219.04
2021-02,Green,Bulk,12983.52,1475.11
2021-02,Green,Packets (4g - 1kg),54866.18,1772.37
2021-02,Green,Packets (3kg - 5kg),710.0,1698.18
2021-02,Green,Packets (5kg - 10kg),1860.0,2000.78
2021-02,Instant,Packets (>3kg),322300.0,1652.54
2021-02,Instant,Packets (1kg - 3kg),9.0,1770.56
2021-03,Black,Bags,2250822.81,1589.21
2021-03,Black,Bulk,10112075.94,811.18
2021-03,Black,Packets (4g - 1kg),8124448.55,926.29
2021-03,Black,Packets (1kg - 3kg),53517.16,894.51
2021-03,Black,Packets (3kg - 5kg),1374815.44,848.67
2021-03,Black,Packets (5kg - 10kg),2453561.5,741.05
2021-03,Green,Bags,80191.95,3196.86
2021-03,Green,Bulk,23482.0,1105.01
2021-03,Green,Packets (4g - 1kg),92400.24,1672.64
2021-03,Green,Packets (3kg - 5kg),1010.0,981.65
2021-03,Green,Packets (5kg - 10kg),2380.0,2143.54
2021-03,Instant,Packets (>3kg),248475.2,1690.05
2021-03,RTD,RTD ( Liters ),672.12,434.46
2021-05,Black,Bags,1613627.9,1611.11
2021-05,Black,Bulk,10413778.56,782.37
2021-05,Black,Packets (4g - 1kg),6361051.02,937.66
2021-05,Black,Packets (1kg - 3kg),139804.0,825.78
2021-05,Black,Packets (3kg - 5kg),1025013.7,818.06
2021-05,Black,Packets (5kg - 10kg),3064693.1,720.4
2021-05,Green,Bags,73748.43,3116.74
2021-05,Green,Bulk,41062.72,1135.89
2021-05,Green,Packets (4g - 1kg),57019.29,1820.03
2021-05,Green,Packets (3kg - 5kg),1000.0,3993.4
2021-05,Green,Packets (5kg - 10kg),1300.0,2325.95
2021-05,Instant,Packets (>3kg),168883.0,1941.32
2021-05,Instant,Packets (4g - 1kg),76.0,622.79
2021-06,Black,Bags,1812655.69,1652.97
2021-06,Black,Bulk,11864133.77,788.12
2021-06,Black,Packets (4g - 1kg),7442769.87,927.59
2021-06,Black,Packets (1kg - 3kg),152474.08,780.37
2021-06,Black,Packets (3kg - 5kg),1315211.04,782.02
2021-06,Black,Packets (5kg - 10kg),2922887.4,725.01
2021-06,Green,Bags,78940.73,2949.86
2021-06,Green,Bulk,35158.16,980.11
2021-06,Green,Packets (4g - 1kg),73505.22,1811.68
2021-06,Green,Packets (3kg - 5kg),20.0,2211.5
2021-06,Green,Packets (5kg - 10kg),780.0,1629.63
2021-06,Instant,Packets (>3kg),346308.0,1742.69
2021-07,Black,Bags,1691492.71,1771.84
2021-07,Black,Bulk,11669547.61,755.99
2021-07,Black,Packets (4g - 1kg),6044944.03,907.67
2021-07,Black,Packets (1kg - 3kg),173594.92,779.01
2021-07,Black,Packets (3kg - 5kg),1320982.86,863.76
2021-07,Black,Packets (5kg - 10kg),3401948.5,682.92
2021-07,Green,Bags,81069.97,3610.81
