year_month,sub_district,monthly_avg,cum_avg
2015-01,NUWARA ELIYA,442.53,442.53
2015-01,RAMBODA,372.7,372.7
2015-01,PUNDALUOYA,441.77,441.77
2015-01,AGARAPATANA,374.53,374.53
2015-01,NANUOYA/LINDULA/TALA,451.39,451.39
2015-01,PATANA/KOTAGALA,410.13,410.13
2015-01,HATTON/DICKOYA,413.03,413.03
2015-01,BOGAWANTALAWA,424.14,424.14
2015-01,UPCOT/MASKELIYA,438.41,438.41
2015-01,WATAWALA/GINIGAT/NOT,435.15,435.15
2015-01,PUSSELLAWA/HEWAHETA,385.74,385.74
2015-01,KOTMALE,486.66,486.66
2015-01,GAMPOLA/NAWALAPITIYA,377.57,377.57
2015-01,NILAMBE/HANTANE/GALA,345.52,345.52
2015-01,KADUGANNAWA,370.22,370.22
2015-01,MADULKELLE/KNUCKLES/,373.04,373.04
2015-01,HUNASGIRIYA/MATALE/Y,319.4,319.4
2015-01,BALANGODA/RAKWANA,392.9,392.9
2015-01,UDAPUSSELLAWA/HALGRA,350.04,350.04
2015-01,MATURATA,346.95,346.95
2015-01,KOSLANDA/HALDUMULLA,318.07,318.07
2015-01,HAPUTALE,431.82,431.82
2015-01,BANDARAWELA/POONAGAL,335.46,335.46
2015-01,MALWATTE/WELIMADA,352.17,352.17
2015-01,DEMODARA/HALIELLA/BA,385.4,385.4
2015-01,ELLA / NAMUNUKULA,383.24,383.24
2015-01,PASSARA/LUNUGALLA,371.51,371.51
2015-01,MADULSIMA,341.46,341.46
2015-01,DENIYAYA,476.4,476.4
2015-01,GALLE,448.8,448.8
2015-01,KALUTARA,444.6,444.6
2015-01,KEGALLE,420.54,420.54
2015-01,KELANI VELLY,442.4,442.4
2015-01,KANDY/MATALE/KURUNEG,328.56,328.56
2015-01,MATARA,475.12,475.12
2015-01,MORAWAKE,469.67,469.67
2015-01,RATNAPURA,436.55,436.55
2015-01,BALANGODA,430.71,430.71
2015-02,NUWARA ELIYA,471.22,454.16
2015-02,RAMBODA,404.57,387.98
2015-02,PUNDALUOYA,390.22,416.95
2015-02,AGARAPATANA,388.29,380.62
2015-02,NANUOYA/LINDULA/TALA,461.93,456.53
2015-02,PATANA/KOTAGALA,432.57,421.07
2015-02,HATTON/DICKOYA,417.87,415.35
2015-02,BOGAWANTALAWA,429.62,426.76
2015-02,UPCOT/MASKELIYA,446.73,441.99
2015-02,WATAWALA/GINIGAT/NOT,429.43,432.31
2015-02,PUSSELLAWA/HEWAHETA,408.76,396.63
2015-02,KOTMALE,512.65,498.13
2015-02,GAMPOLA/NAWALAPITIYA,391.91,384.3
2015-02,NILAMBE/HANTANE/GALA,352.03,348.46
2015-02,KADUGANNAWA,378.43,374.05
2015-02,MADULKELLE/KNUCKLES/,389.86,381.37
2015-02,HUNASGIRIYA/MATALE/Y,340.3,329.41
2015-02,BALANGODA/RAKWANA,397.44,394.89
2015-02,UDAPUSSELLAWA/HALGRA,350.25,350.14
2015-02,MATURATA,360.34,352.47
2015-02,KOSLANDA/HALDUMULLA,492.77,432.51
2015-02,HAPUTALE,465.19,447.19
2015-02,BANDARAWELA/POONAGAL,347.4,340.75
2015-02,MALWATTE/WELIMADA,357.3,354.28
2015-02,DEMODARA/HALIELLA/BA,388.03,386.57
2015-02,ELLA / NAMUNUKULA,376.43,379.87
2015-02,PASSARA/LUNUGALLA,372.5,371.98
2015-02,MADULSIMA,333.0,337.47
2015-02,DENIYAYA,455.9,466.63
2015-02,GALLE,426.86,438.21
2015-02,KALUTARA,425.88,435.54
2015-02,KEGALLE,417.5,419.08
2015-02,KELANI VELLY,432.49,437.7
2015-02,KANDY/MATALE/KURUNEG,337.62,332.64
2015-02,MATARA,451.87,463.88
2015-02,MORAWAKE,445.34,458.44
2015-02,RATNAPURA,422.6,429.54
2015-02,BALANGODA,421.57,426.42
2015-03,NUWARA ELIYA,457.44,455.53
2015-03,RAMBODA,376.59,382.6
2015-03,PUNDALUOYA,442.5,428.33
2015-03,AGARAPATANA,374.56,378.2
2015-03,NANUOYA/LINDULA/TALA,444.36,451.27
2015-03,PATANA/KOTAGALA,409.01,416.08
2015-03,HATTON/DICKOYA,406.94,411.89
2015-03,BOGAWANTALAWA,430.1,428.15
2015-03,UPCOT/MASKELIYA,425.84,435.34
2015-03,WATAWALA/GINIGAT/NOT,408.84,422.94
2015-03,PUSSELLAWA/HEWAHETA,404.07,399.91
2015-03,KOTMALE,461.43,479.92
2015-03,GAMPOLA/NAWALAPITIYA,387.0,385.46
2015-03,NILAMBE/HANTANE/GALA,349.45,348.94
2015-03,KADUGANNAWA,379.87,376.51
2015-03,MADULKELLE/KNUCKLES/,376.0,378.72
2015-03,HUNASGIRIYA/MATALE/Y,333.54,331.25
2015-03,BALANGODA/RAKWANA,397.87,396.05
2015-03,UDAPUSSELLAWA/HALGRA,357.95,353.0
2015-03,MATURATA,365.91,357.77
